,gene_list,p_value_gts_sport,p_value_gts_1kg,p_value_1kg_sport,p_value_end_vs_speed,gts_mean,gts_std,kg_mean,kg_std,sport_mean,sport_std,end_mean,end_std,speed_mean,speed_std
0,brain,0.02646621272149773,0.004109070795360083,0.05130012298232628,0.8239532935464363,91609.46336842107,6222.769547250012,93595.19367346939,1516.9706160900164,93145.72060000003,1685.6722432111667,93106.98073469389,1806.0829770807918,93182.94125490196,1560.354714276163
1,sekletal_muscle,0.10275422282388655,0.020519967909481202,0.01796947253017186,0.7222106529935037,113957.20978947368,7285.10739559809,115796.09901020408,1566.372991383299,115243.56757000001,1672.2339083897443,115304.96989795919,1591.0218064640624,115184.57317647059,1744.6737774924309
2,heart,0.07767032545768332,0.06951364908490523,0.9412905142362287,0.3034461089418401,75395.74460526313,5597.037793521162,76490.31451020407,1118.757391428191,76476.97514,1395.6167927167817,76624.95902040816,1335.4390298200324,76334.79454901961,1436.8000047637206
3,Hp_0011804,0.06628395896036604,0.004203030082302504,6.651869912198529e-08,0.9926198426255228,297356.36315789475,18375.829972814958,302944.72759183665,2630.5367058608394,300868.78865,2545.166318038949,300871.22102040815,2536.8524011785926,300866.4516666667,2553.1265148570437
4,Hp_0011805,0.02275717557234941,0.00475736701221081,0.024698519794103153,0.8320613619920082,195609.1116842105,12426.77474037989,199400.14331632652,2324.559168834155,198633.04211000004,2417.875861136429,198686.0110816327,2277.8329131038145,198582.15035294124,2544.140454880328
5,endurance_markers_2021,0.14122652249491072,0.3563841899670026,0.12626788466295508,0.4193874052855501,14393.857105263156,1833.683991466974,14582.324132653062,498.9344070530921,14701.01917,579.3939595968887,14749.276551020408,586.0262612137154,14654.654235294118,569.107985324284
6,power_markers_2021,0.44428068895381423,0.3709169693322716,0.027503331517824886,0.5761191756535158,1985.8114473684216,172.6839395704274,1955.4102448979593,177.11841292860595,2011.9446800000003,179.21641036232592,2001.601081632653,177.2373898867586,2021.8826470588235,180.54010547937233
7,strength_markers_2021,0.3128777066560731,0.5097791687800398,0.020187971309218494,0.4180231594989101,8713.306842105261,461.0343908209089,8768.24693877551,419.85530261018994,8636.80034,364.4946932158054,8667.247734693878,361.34533063464374,8607.546960784313,365.11124464657433
8,soft_tissue_injury_2021,0.6624772225343811,0.6645825892157716,0.9887632435079496,0.006230229787194146,2209.1429473684207,201.1101016621894,2225.0855816326534,186.30807974936667,2224.71744,179.16405678217492,2274.396081632653,162.94164714761237,2176.9869803921565,181.0594337530094
9,Cerebral_Cortex,0.7632995506877145,0.23304958821217805,0.1957009137165588,0.18056694837242995,568.8387105263158,118.90776270815255,595.372275510204,113.5141010025807,575.13639,104.5881938022543,560.7333673469387,105.71642990831148,588.9745882352942,101.58697866421942
10,Basal_Ganglia,0.28313534031631893,0.276753590675952,0.907455581241511,0.690666094480838,4190.577078947368,481.9657299651731,4263.570867346939,277.83638061969083,4259.163340000001,251.88303909585562,4248.811102040817,264.26201530556165,4269.109607843137,238.96524077905394
11,Hypothalmus,0.6984080604501748,0.18897290093255384,0.15723652953491843,0.6983163953333582,434.1595526315789,77.22804425810253,451.1960102040816,62.617440256655435,438.93314,58.255050683871175,441.2651224489796,52.71176174276308,436.69260784313735,63.04288042341901
12,Thalmus,0.06447224421018866,0.24259015228185743,0.5314767640036965,0.6211604307046744,1159.4475526315794,166.07552042617894,1197.4496122448982,168.9823234908914,1211.14581,135.3711589355499,1204.2379387755104,148.44673381706798,1217.7827843137254,121.11938078595475
13,Midbrain,0.1830494784430737,0.2918117703631606,0.0028180698232116623,0.5173777041428287,1348.1006315789477,107.43693831326087,1320.5613367346941,144.48730612141455,1381.15821,135.8868173318733,1390.237673469388,133.85663347751657,1372.4348039215686,137.24459415090936
14,Dopaminergiczna,0.884231733361435,0.42230270038493156,0.34891491717961487,0.970267991435577,3367.830710526316,256.0662658692192,3407.512173469388,256.0754435723105,3374.57451,234.76463465183573,3373.6704489795916,236.87945577652374,3375.4431176470594,232.71133717797824
15,Serotoninergiczna,0.24469583354422866,0.03968410160731231,0.11873765981848972,0.5020588739374335,3232.5702105263153,307.21016032018815,3338.9382448979595,248.14112142830157,3287.1168899999993,213.91258613461224,3301.935346938775,189.6824150321549,3272.8795490196076,233.96708324733885
16,Noradrenergiczna,0.8334521472876029,0.030643137392718865,0.002229060770557289,0.07470531360024893,1161.6203157894736,135.43434025582968,1220.2617755102042,140.92990092621247,1155.69485,150.51137394053484,1128.2036326530613,152.00988320107294,1182.107980392157,144.20241987274866
17,GABA,0.1263016359202065,0.20315777981902022,0.7155855781865645,0.8941520545879951,17835.23378947368,1190.3471629234932,18036.173030612244,612.3126034630372,18066.64383,555.9263040504567,18074.285734693876,526.4873449151333,18059.301607843136,582.7173902836795
18,SLITRK,0.7412707299864285,0.5369482708227744,0.729315399615462,0.6697307054293284,13921.512394736843,881.2800964497029,14005.490387755102,622.824717723027,13971.426200000002,746.4956827927281,14004.307081632656,840.1977747070802,13939.834764705884,642.1627410838612
19,all_neurotransmitters,0.08114778042740982,0.004250385408342055,0.019388513899288164,0.6666900209663003,23293.529184210525,1495.6905747474157,23834.319530612243,653.3039969341585,23616.163840000005,642.2594358028183,23587.59742857143,637.054655736629,23643.609999999997,646.0319510783028
20,Gutaminian,0.45145604382532933,0.04233930290090806,0.025110261234310306,0.3643351357302014,12457.430842105265,912.250334854983,12715.056734693875,518.4315706386806,12550.48391,502.3773641896723,12503.497999999998,498.8918475091602,12595.627235294114,501.5745967829164
21,Serotonina_Kannabinoidy,0.0869844127893083,0.025293321129892632,0.360055249068302,0.5632362620644354,3364.7610526315793,356.74115379907033,3491.914551020408,262.5631020438715,3458.3785399999997,249.1416191998607,3473.245244897959,213.97068633882392,3444.0948431372544,278.0368932755658
22,Dopamina_Acetylocholina,0.02296133485233016,0.0018183655911938087,0.14103154048957467,0.7875096403899609,9945.64813157895,687.2292436557401,10248.02518367347,393.6764939692814,10164.34878,398.85578772713285,10175.454571428572,318.4048431789252,10153.678509803922,462.92004131033235
23,geny_GTS,0.26154866146346234,0.10933913492844004,0.6996713828749255,0.8645128766020103,11270.738447368421,586.050581054801,11460.790765306123,622.3582201704836,11422.933750000002,742.9256291143206,11409.837224489798,840.776603910624,11435.516686274508,634.6067205543337
24,Synapsy,0.0716545212212688,0.0017213991913664702,0.0009038957028099316,0.6881557290022939,41012.998394736846,3011.122594357333,42114.49820408163,960.89436872252,41639.8401,1009.5389035414486,41597.993653061225,1029.7581410297082,41680.045509803924,988.0555751589295
25,Tryptofan,0.5694765964055926,0.7127063305765424,0.7691602058244734,0.16534877425205569,6610.461763157895,645.7044319710241,6645.172163265306,411.84745540370136,6661.8312399999995,381.44872977649595,6607.425020408164,352.1841082882577,6714.103882352942,400.6922685668405
26,Ligand_receptor,0.006708197090478336,8.434898969294678e-06,0.0013897825876987879,0.47255446616265995,26419.136000000002,1235.1542179766136,27222.727295918372,731.3172937178497,26888.27219,712.4649747043663,26941.07948979592,724.3804071493379,26837.535764705877,697.0679056170895
27,calcium,0.07708124822630875,0.016043521408052642,0.08190756463198953,0.02020400879062805,37219.55113157895,2797.9368724547853,37995.196653061226,866.9572338069432,37780.0202,855.7182683329492,37982.55114285715,828.5260935143343,37585.43164705883,836.0508975988
28,androgenowy,0.04033837150469045,0.009361634888971375,0.28210865299730187,0.6179915871377599,9015.76244736842,774.1314024587645,9300.677479591837,452.56886076722895,9232.7706,428.7530710514619,9254.84812244898,487.988813093741,9211.558862745098,361.5752119718266
29,addiction,0.022670822175692468,0.001035058478575282,0.06070160266389641,0.5736352301559062,8471.798842105263,788.7910749138279,8818.114346938777,397.30761537419465,8710.050430000001,404.4908973436922,8686.553061224491,385.0851632004524,8732.626333333334,421.06314108608603
30,cancer_diagnosed,0.23929324952834974,0.06242067697297692,0.3021700581699698,0.6615849165443439,1086.1328421052633,195.86744967297685,1173.1666224489795,255.8427797799678,1136.9606199999998,233.83245237758504,1147.530632653061,230.317965281424,1126.8051176470588,236.71590104634333
31,cystic_kidney_disease,0.05223640457276631,0.003998507310891993,0.1687425404447554,0.6435922000122904,1192.734815789474,239.24606359912508,1319.6610816326533,219.3569591276001,1276.6309700000002,216.74848449737564,1286.9867346938775,226.01561572389653,1266.68131372549,206.96769920728326
32,expiratory_volume_best,0.3489805734549707,0.01812256501312212,0.055224946676435537,0.450853337235252,957.8074736842108,136.3446095909643,1019.5526836734693,133.1526890990877,982.41166,136.3933720946308,993.0215102040817,143.2987673432212,972.2178823529414,128.59020259444452
33,hand_grip_left,0.1127433356583272,0.028058060501598866,0.28647285222021324,0.30866024644963774,1775.9931315789474,253.8727980953175,1878.9302857142857,235.50810997890653,1844.7337300000002,212.02272908506083,1866.9757346938775,197.6199123691921,1823.3639607843136,222.91320986164547
34,hand_grip_right,0.17398173408553153,0.060779801357949755,0.4948505087726627,0.7377810591459006,1387.9828421052632,208.07866075717945,1462.6896530612246,204.07546680409234,1442.55642,207.99352313772562,1449.748979591837,203.09376827098802,1435.6459215686273,212.36544957033277
35,group,,,,,,,,,,,,,,
36,pheno,,,,,,,,,,,,,,
